#{"t_start": 1635232410.989394, "env_id": "PathColav3d-v0"}
r,l,t
-21.741235,901,9.580816
-5793.7759,560,14.656766
-93.843606,901,23.080995
-8111.08073,741,30.269625
-15255.874322,901,38.188576
-4427.75468,775,46.53604
-8431.195827,603,52.455802
-57.902325,901,61.076687
-24144.920957,901,71.449739
-5944.993562,901,78.01377
-32589.812402,817,87.437558
-6343.742145,901,95.767087
-6405.652015,901,104.840484
-57540.32108,888,114.078287
-6758.820599,805,121.348321
-3831.519835,901,127.45074
-6323.056465,498,133.610094
-4326.89033,901,147.727646
-2044.827975,719,155.291859
-8446.647338,901,163.624206
-129.677686,333,168.34947
-4177.086696,901,177.369522
-5139.951578,901,184.679278
-4075.959327,901,192.970383
-4084.656683,536,198.953045
-7561.5428,432,203.250362
-195.761978,901,213.245114
-3981.138737,901,223.71477
-3944.674706,733,235.299962
-1595.081513,316,239.345139
-16645.198146,605,246.943045
-214-6421.990599,901,251.2528-4368-4114.922972,885,261.4692-7976-8538.423097,901,271.1842-1021-318.65612,320,273.650435-6010.362953,901,282.212817
-3813.58612,901,290.297507
-3934.314528,901,300.508273
-1972.233171,901,310.311183
-4063.906296,467,316.598929
-4333.60189,901,327.287201
-6114.965941,901,333.942914
-5750.474285,756,340.121213
-14652.60683,901,350.026111
-4439.77619,901,358.930465
-6431.09985,694,367.668612
-456.20546,901,375.026247
-3884.795807,901,383.34933
-9167.531557,686,392.678923
-3938.648563,505,397.45739
-4143.22108,901,406.763544
-5234.141173,901,416.748147
-3810.346374,901,426.475354
-432.836524,395,430.60538
-3950.108206,655,437.693922
-4566.856991,897,446.246488
-24.007613,901,454.458411
-9205.372056,599,462.225507
-5357.064837,901,473.69151
-7723.629304,901,487.023444
-31.610934,901,493.494713
-4114.101382,901,500.941708
-8266.518286,901,509.445841
-136325.624831,901,517.88334
-2167.15722,901,527.284903
-55055.03254,901,537.54419
-100436.50162,901,545.860986
-7165.166603,901,554.035267
-5030.553412,540,560.876631
-122550.402264,901,570.317662
-621320.263678,901,579.182767
-286326.342011,901,589.382075
-2055.593042,324,592.964372
-4132.94644,495,598.846566
-6497.25405,901,610.750824
-8097.561617,901,619.198969
-5472.72927,901,629.908579
-9055.734208,751,637.562525
-39338.755322,739,645.137371
-217.04638,901,653.25968
-894637.560094,901,661.142092
-4655.210826,586,666.857022
-4513.634564,806,675.053449
-5867.714199,428,678.334458
-7760.519659,901,688.391836
-6494.590248,595,694.129124
-3926.330885,901,704.552322
-114175.979963,901,712.623672
-69685.47999,901,721.634885
-34876.161631,901,727.793873
-7832.543574,901,739.288877
-7064.576854,901,747.866692
-12049.303319,901,755.455442
-324228.628296,901,765.752789
-958712.82204,901,783.601669
-272523.108968,901,795.053074
-2659.108578,606,802.481021
-67450.319091,901,812.441445
-21490.32716,901,823.807828
-110569.941129,901,834.569635
-20575.350285,901,843.081374
-8698.844013,901,852.316874
-36764.444888,901,859.795021
-52748.336435,901,867.83336
-284412.296959,901,875.979367
-532821.99839,901,886.930175
-94312.607553,901,896.292397
-612456.788997,901,903.444253
-13109.424437,672,909.962126
-104746.731674,901,918.509181
-242201.466856,901,929.519572
-351731.583667,901,938.018655
-19467.308069,901,946.156059
-291518.920792,901,953.273764
-217580.511567,901,961.362528
-146251.01047,901,967.654191
-92973.839451,901,972.800566
-335389.616882,901,980.477492
-44462.115892,901,991.024727
-36.753398,901,997.118248
-176824.434871,901,1004.40872
-462757.704433,901,1010.914255
-239740.521095,901,1019.224049
-239016.9173,901,1025.93451
-1245497.152986,901,1032.554167
-35.441571,901,1037.268333
-581117.955391,901,1044.992606
-1734824.003865,901,1053.250534
-22116.873574,901,1060.995921
-38431.890584,901,1069.252945
-1468787.200496,901,1076.617264
-89202.77603,901,1083.86805
-87238.719651,901,1093.287055
-31.880634,901,1098.406263
-604225.397476,901,1107.209491
-90.62581,901,1113.423756
-2304316.15636,901,1121.444932
-32.372796,901,1131.334985
-37950.580268,901,1140.832241
-2361235.931125,901,1149.099048
-31.574158,901,1156.209195
-509.439397,901,1162.925475
-156276.660864,901,1171.377376
-33049.990378,901,1178.852072
-25.114283,901,1185.218599
-36.702926,901,1191.872878
-1622553.309459,901,1198.641961
-15901.216567,813,1210.029813
-311708.118702,901,1218.663441
-34.624856,901,1226.743185
-225775.857594,901,1233.304472
-276013.734408,901,1241.48569
-1306670.112918,901,1249.12098
-224700.085153,901,1261.074234--662.067471,610,1267.535374
-2214787.284372,901,1273.747815-38-837394.073921,901,1283.1233-3248-1415325.509381,901,1290.-460729.6-1981.532428,250,1292.58-83490.-1255971.528865,901,1303.-513.7920-544167.94967,901,131-169960.053-300.215309,369,1314.6-295487.-54.46501,901,1321.50526-1-1459740.142215,901,1328.045-71082-1687694.915284,901,1336.50-201604-617000.070569,901,1347.01-1521448.91865,901,1352.513491
-673455.97564,901,1360.070389
-1234528.895503,901,1367.852916
-708617.582623,901,1375.848027
-6319.213003,901,1384.7148
-1542534.640439,901,1392.27323
-189301.533131,901,1402.199035
-1538.837275,901,1409.083668
-1798690.381916,901,1416.795419
-1095216.626346,901,1424.863183
-958267.48926,901,1431.050385
-2018161.513276,901,1439.795152
-2618.724875,901,1450.471918
-2163209.856836,901,1460.359637
-1269862.909906,901,1468.992274
-903.383337,684,1477.172396
-1166774.236467,901,1485.173795
-868-386474.461768,901,1488.-1278120.-1234785.995815,901,1495.-167524.6-125593.936909,901,1502-6435.9502-383654.487872,901,15-58445.3298-7545.648866,901,1521-1236014.8-180414.967385,901,1529-2453445.3-2278.47473,430,1533.062-11768-962836.454165,901,1540.2064-2078-2587827.507516,901,1548.531-77811-877392.339904,901,1555.785-12529-692567.745699,901,1564.084-21771-417040.48966,901,1572.702-4156-699921.617562,901,1580.-1078674.-1128826.005122,901,1587-7172.2855-5801.81736,901,1594.-1186620.-70546.797716,901,1603.36-216971-452313.457244,901,1611.-266029.037039,901,1617.971298
-12375.955886,556,1623.400645
-4396.373537,901,1632.406991
-4015.212299,901,1640.319194
-1129083.603201,901,1647.368957
-724.44217,6-1530630.564508,9-1739108.690234,9-694880.897383,9-400.804996,654,1-571.137599,9-838847.457939,90-781885.42811,90-2831.820836,901,1683.065661
-494998.871341,901,1691.589499
-23380.303627,901,1700.36077
-1007723.816189,901,1708.149234
-261.730451,234,1709.897635
-1411003.519382,901,1717.480864
-5271.93590-926578.26953,901,17-1021343.067-701769.796474,901,173-9086.93466-1096614.382211,901,1743.028448
-491043.362276,901,1751.873386
-3204.745328,90-1682221.789784,-747380.899622,901,1765.4382
-331606.295758,85-77115.75797,901-1182869.231949,901,1785.627549
-85496.08455,901,1797.244129
-137140.748403,901,1809.390815
-2939022.892355,901,1818.045061
-105300.93395,901,1826.989906
-30390.915972,901,1837.402552
-630056.188761,901,1845.386841
-815388.540422,901,1855.333401
-16097.069628,901,1866.329296
-362178.578926,901,1876.012205
-2653531.352209,901,1884.562858
-28.980144,901,1893.495136
-493359.938963,901,1903.663298
-315830.671657,901,1911.450512
-367787.746667,901,1919.506114
-3735088.931425,901,1926.601606
-6037.498025,901,1933.835374
-8216.531417,901,1943.33098
-552321.461532,901,1953.670126
-2699.01103,901,1961.662574
-375803.444109,901,1970.690295
-297552.467981,901,1978.699567
-292.555533,286,1980.7277
-163995.486818,901,1989.650215
-1214705.61609,901,1996.876343
-220081.328281,901,2005.405944
-2383962.999579,901,2013.18508
-114134.582023,901,2021.416065
-39721.817831,780,2031.140733
-1771221.570525,901,2039.342881
-1581084.50116,901,2048.305838
-139474.325733,901,2058.590793
-94744.090046,901,2067.57404
-450512.409503,901,2076.538492
-12898.180632,901,2083.039687
-250.449462,901,2089.679645
-4871.918496,673,2096.760102
-24.691039,901,2105.702534
-22965.150544,901,2114.213719
-48623.063058,805,2122.078133
-573.571924,442,2128.735323
-31591.359313,901,2138.133101
-25.111316,901,2146.089262
-821359.525453,901,2154.131461
-1311.98765,901,2160.04403
-232.054842,323,2163.187221
-952936.732164,901,2171.643878
-1962.727055,901,2177.588272
-384636.496972,901,2191.239224
-638518.463013,901,2199.676403
-397505.262323,901,2207.388307
-1489.986185,389,2211.73842
-45044.740198,901,2219.667161
-1528918.684887,901,2226.480901
-1487300.730436,901,2235.917165
-3846.206581,548,2241.186239
-770.643334,901,2251.371274
-209505.534785,901,2260.297354
-2467.162612,387,2264.255056
-1271410.835572,901,2271.28717
-3769.860387,901,2279.563001
-813469.278795,901,2286.384251
-48601.496274,901,2295.73815
-903.283879,382,2300.947616
-13347.197402,738,2308.448844
-1560545.012539,901,2317.992551
-783973.066203,901,2326.478402
-9142.239739,901,2334.643708
-27377.066101,901,2342.964328
-948654.937372,901,2350.853344
-2754.391379,901,2360.144059
-513939.439735,901,2368.463106
-502663.248068,901,2375.940297
-116610.326711,901,2386.625092
-154558.135405,901,2394.24414
-37267.675815,901,2405.660878
-10591.202147,901,2418.620298
-82130.630423,901,2428.075754
-68695.013252,901,2441.08705
-1265.922042,428,2446.560407
-1525118.071977,901,2457.683487
-854467.401674,901,2467.227521
-45713.757867,901,2478.744087
-4970.6598,901,2487.713855
-173893.815106,901,2500.0513
-1115642.072734,901,2509.653733
-9456.202443,901,2519.457764
-107287.234855,901,2531.473583
-152499.865172,901,2542.102266
-612.717296,332,2545.645344
-74762.214712,901,2557.329727
-417324.685933,901,2567.809071
-34.213087,901,2579.916078
-896.736311,316,2582.707476
-145.731186,901,2590.123108
-3118780.723851,901,2596.605758
-831018.705038,901,2608.15506
-98.756614,901,2618.191374
-159069.101931,901,2626.209098
-1846644.157417,901,2634.358582
-519535.806111,901,2640.858615
-170860.895819,901,2648.623594
-1762842.856494,901,2657.292976
-195.56086,901,2665.62671
-9111.845432,901,2675.959433
-421.606556,901,2685.109214
-2607214.369794,901,2694.244148
-41.119727,901,2705.000521
-1377012.343503,901,2714.019486
-18.346993,901,2726.350285
-1527.032643,901,2734.299596
-1434388.152782,901,2742.355376
-6074.835866,678,2749.63737
-688.266278,901,2757.046686
-27.030601,901,2765.763306
-483.825065,337,2767.898366
-123936.376402,901,2774.178487
-46.548719,901,2782.980939
-8064.336098,570,2788.782614
-22.134427,901,2797.498712
-48.820227,901,2805.366238
-15926.934466,901,2815.931936
-742282.901431,901,2824.448409
-19776.644353,901,2835.507152
-1021.745117,901,2842.477353
-25977.393396,901,2852.016167
-61221.902445,901,2858.78838
-38374.347053,901,2868.249237
-110.285199,901,2874.694384
-936.26-29.390474,901,2881.91-117636-92.123785,901,2889.00959-3-24.154351,901,2897.006353-6-188100.784394,901,2905.28-2101.2-712.007848,398,2908.937-17586-68857.721273,901,2918.9471-9907-68265.455241,901,2927.5464-1504-105433.989409,901,2934.1-49610.1-61509.294497,901,2943.3-25.4213-10159.333091,901,295-850.640398-102620.896551,901,-17251.339356,-47630.893706,901,-68053.145628,-60958.79502,901,2-1942.924366,-4741.972575,464,2-19725.838482-127756.483026,901,-930.428023,87-3395.068845,673-40371.293088,9-440799.195525,90-7013.107023,901-87801.950791,9-3914.723979,802,-793985.093192-3547.991173,820,30-738.288554,-105721.762839,901-432.912418,901-42.071759,901-21.562395,901,-30.279775,901-8576.552305,90-1999.172797,901,3060.559582
-334.613202,901,3066.92633
-26251.086753,901,3076.811222
-523965.253399,901,3086.065194
-1300.847321,595,3090.555428
-1226852.669817,901,3101.532487
-44615.891954,901,3112.946643
-206.371877,901,3119.16532
-27.153098,901,3127.656368
-27257.006739,901,3136.986207
-552.3-40.886495,901,3141.6411-51.767898,901,3149.511279
-3535.665115,901,3155.135374
-43699.583376,901,3169.006668
-796.838767,901,3176.240797
-97609.913966,901,3184.307384
-74.432367,901,3191.596849
-213017.565987,901,3201.747954
-7617.839673,901,3209.37993
-29.406639,901,3218.206788
-29.181323,901,3227.07129
-134.955946,901,3234.833357
-10008.644423,901,3243.826737
-5815.383332,901,3258.183838
-1367.124141,727,3265.034038
-237545.924891,901,3276.420939
-3051.615773,901,3283.360655
-1338.960921,809,3292.357293
-3836.234197,901,3302.960653
-60618.967788,901,3310.343381
-4140.875045,901,3320.072351
-663.691789,901,3326.813937
-406654.248218,901,3333.524805
-10266.571633,901,3342.10654
-569208.329598,901,3349.94542
-57.10179,901,3357.894054
-703.838979,901,3364.303684
-945.415572,449,3368.043519
-32694.207205,901,3375.874018
-684686.501449,901,3382.943808
-872929.736533,901,3391.276397
-810574.032093,901,3398.612123
-651165.187384,901,3406.248391
-107102.33919,901,3416.619837
-140114.168018,901,3426.592005
-3967.57853,901,3435.850954
-2334.151093,901,3442.721696
-707.088305,464,3446.116233
-2906.787944,730,3451.79487
-102.2565,901,3460.819041
-6251.65337,901,3468.366575
-11379.606554,901,3475.180905
-755.415487,602,3480.41733
-11692.835702,901,3489.152937
-7686.830574,901,3500.484438
-37243.720835,901,3511.855399
-9814.080559,901,3523.147893
-12211.389263,901,3533.567026
-17763.89371,901,3547.363514
-12275.865623,713,3559.243452
-13258.359008,901,3568.423907
-26442.244727,901,3581.09599
-469.557669,345,3586.31353
-26591.653694,901,3598.78148
-31.570087,901,3606.398012
-5864.079467,901,3615.823436
-156370.419759,901,3625.631911
-26556.84468,901,3636.479414
-48973.23186,901,3646.803016
-7748.580137,901,3662.930271
-4893.519638,551,3670.020089
-110.561318,901,3685.497655
-67877.324299,901,3695.146231
-119110.871273,901,3701.842475
-72434.307244,901,3712.696127
-4088.063252,508,3718.288275
-129386.79339,901,3725.225519
-107621.045664,901,3734.497518
-28675.229377,901,3746.688453
-2510.592466,569,3752.293528
-1915.054451,887,3759.30512
-39.498057,901,3765.763214
-335243.872896,901,3773.827515
-396929.734912,901,3781.770026
-32.964351,901,3789.444439
-13243.901469,901,3796.14038
-132256.847896,901,3808.086198
-48.504694,901,3817.742375
-23.426316,901,3825.756292
-1899.846021,879,3832.09815
-22.469757,901,3837.590453
-92592.853685,901,3846.544162
-29385.940019,901,3856.762494
-187066.138441,901,3865.224424
-18.282211,901,3872.127202
-27.379208,901,3879.941109
-1945.833611,901,3885.788926
-22.954522,901,3893.049296
-2847.897617,901,3899.025193
-33.450531,901,3908.363944
-24.504914,901,3916.831302
-45.794311,901,3924.338355
-156163.352618,901,3937.419523
-4428.44197,901,3947.209496
-6236.982462,901,3957.822542
-51.659684,901,3963.729288
-35.04642,901,3970.564098
-32.219243,901,3976.160721
-836.450269,737,3981.681225
-44.953111,901,3991.821153
-29.781145,901,3997.296128
-3837.173391,901,4009.803562
-37.930583,901,4017.329292
-217.798766,901,4024.341485
-33.466416,901,4033.591226
-548.77135,336,4036.50211
-93.331765,901,4043.072328
-31.90942,901,4051.572224
-53.848771,901,4058.834008
-4450.972788,901,4067.866558
-89.371502,901,4073.58703
-3985.323464,901,4081.851532
-62.141683,901,4087.562117
-43.487263,901,4095.204084
-101.691214,901,4100.736654
-66.245638,901,4107.922678
-38.934959,901,4115.946045
-2994.912997,741,4122.169468
-2205.287646,901,4131.667233
-102.721581,901,4138.292876
-45.05686,901,4143.945188
-48.35135,901,4149.380221
-49.921115,901,4155.550984
-184.660347,901,4162.45443
-50.707756,901,4168.36852
-39.634608,901,4175.532392
-56.362077,901,4180.882454
-87.233849,901,4186.537399
-1468.157224,473,4190.066438
-565.934641,374,4192.099637
-37.750088,901,4197.832151
-33.874184,901,4203.22364
-806.162231,901,4209.572908
-2121.146986,377,4211.815766
-39.799518,901,4218.084258
-2358.25337,443,4223.019001
-134.743541,901,4229.04629
-49.01403,901,4235.244502
-47.565413,901,4241.198559
-54067.140945,901,4249.054328
-173.63887,901,4256.653344
-4051.740883,901,4264.075622
-46.650203,901,4269.33807
-61.694372,901,4275.813805
-63.643953,901,4281.57719
-3962.273523,901,4289.926098
-2113.323207,901,4298.58004
-159.24777,901,4308.689708
-524.64015,901,4316.763585
-62.557534,901,4326.128559
-63.253062,901,4332.256065
-105.806508,901,4338.764301
-70.673525,901,4347.472191
-169.523251,901,4355.256299
-43.884473,901,4361.378222
-54.029469,901,4367.28989
-109.51382,901,4373.190125
-61.102074,901,4379.036793
-3126.208856,533,4382.394936
-170.742339,901,4388.418466
-55.468372,901,4396.776958
-97.858961,901,4403.122079
-97.039319,901,4408.629379
-11584.69264,901,4415.909157
-78.279186,901,4420.787072
-107.827562,901,4429.98526
-62.888747,901,4437.06174
-61.897532,901,4445.357342
-3100.529441,891,4456.252586
-112.266017,901,4463.669914
-88.037374,901,4469.217444
-54.001311,901,4474.660661
-3114.311752,901,4486.24057
-79.837694,901,4500.945451
-37.313102,901,4510.522382
-59.654019,901,4517.081731
-2730.142506,461,4521.344128
-2118.072223,490,4524.547161
-279.901038,901,4530.338453
-135.797556,901,4536.315853
-68.127934,901,4542.075414
-61.312517,901,4547.671493
-57.125324,901,4553.113137
-50.785712,901,4558.852508
-57.662207,901,4564.661638
-71.003161,901,4571.388408
-87.072506,901,4576.765945
-207.705886,901,4582.644537
-401.976121,901,4588.871747
-211.716941,901,4597.359942
-115.708473,901,4602.223747
-2553.504673,901,4610.918895
-103.357205,901,4617.210376
-216.199511,901,4623.309465
-45.654726,901,4628.824079
-52.244631,901,4634.299335
-16210.972292,655,4639.42144
-53.522598,901,4645.470297
-122.548195,901,4651.086401
-70.294052,901,4660.198548
-54.816461,901,4665.773305
-46.375639,901,4672.650384
-50.07452,901,4679.511566
-136.327944,380,4682.611265
-176.433441,901,4688.430032
-53.096351,901,4694.298597
-460.249682,289,4695.897762
-53.372455,901,4701.397953
