#{"t_start": 1638265064.2204406, "env_id": "PathColav3d-v0"}
r,l,t
-1337.682574,1,2.497353
-1820.534674,3,2.524281
-3430.776159,1,2.531261
-1777.896446,1,2.538242
--2694.831737,1,2.548216
-3-4603.479688,2,2.561182
-1-2431.88967,1,2.568164
--5569.683873,3,2.589107
-1499.427849,1,2.596087
-3255.635281,1,2.6031
-3458.697839,3,2.624013
-2753.964514,1,2.631992
-1709.41821,2,2.646953
-6554.065742,1,2.653934
-3453.855947,2,2.668893
-1255.317016,3,2.688839
-3217.181378,2,2.702802
-4389.779039,1,2.710781
-6773.523086,2,2.733719
-2804.847857,1,2.740702
-1388.267847,1,2.748681
-2845.425042,1,2.755661
-4025.095971,1,2.76364
-1568.105256,1,2.770656
-1653.073713,1,2.777602
-1757.359266,2,2.791564
-1905.760085,2,2.805528
-1170.986053,1,2.81251
-1112.578762,1,2.81949
-1412.964171,1,2.82747
-1672.537568,1,2.834451
-2098.383796,1,2.841433
-2460.920111,2,2.854428
-1319.933111,1,2.862377
-3926.849861,1,2.868393
-5892.537916,2,2.882322
-2531.555913,2,2.895289
-4027.108068,1,2.901307
-3809.740397,1,2.90925
-3786.458068,2,2.924211
-1291.857996,1,2.931192
-3180.176309,1,2.938174
-2745.212056,1,2.945155
-2478.27751,1,2.952137
-1254.956623,2,2.966099
-1247.775848,2,2.979095
-3696.014842,1,2.986045
-3862.842279,1,2.993027
-2144.560514,1,3.000007
-1489.581278,1,3.006989
-3916.186322,1,3.014969
-4677.631174,1,3.023945
-3947.763143,1,3.031922
-2257.167655,1,3.038904
-2841.417027,1,3.046885
-7406.851512,3,3.069853
-4640.207035,3,3.089768
-1424.190539,1,3.098745
-4912.128339,2,3.11174
-2917.552331,2,3.124674
-3602.609031,1,3.131654
-1761.020946,2,3.143626
-3118.925412,1,3.150604
-3732.907449,1,3.157587
-4666.625522,2,3.171549
-1437.798609,1,3.181522
-3623.071828,1,3.189502
-3731.263255,1,3.196482
-7415.311116,2,3.209454
-2355.64633,1,3.21643
-2599.166366,1,3.223441
-5889.590021,1,3.230425
-3608.030242,1,3.237372
-1285.069007,1,3.245353
-2506.610814,1,3.253331
-2719.89994,1,3.260311
-3911.656922,1,3.26829
-1643.956165,2,3.28325
-2408.657521,1,3.289264
-3912.209926,2,3.3022
-2126.063108,1,3.309187
-4329.145999,1,3.316162
-2107.875984,1,3.322145
-2334.970176,1,3.329126
-1399.17774,2,3.342092
-3753.198241,1,3.349074
-5897.945568,3,3.367027
-1878.271178,2,3.380023
-3718.821894,1,3.387971
-5039.723654,1,3.394952
-1685.692048,1,3.403928
-2477.874396,1,3.410909
-1776.971204,1,3.416928
-1681.614106,1,3.423873
-1282.413676,2,3.436841
-3763.490807,2,3.450803
-4033.560993,1,3.456786
-4216.353381,1,3.463768
-3841.159123,1,3.470749
-2616.167707,1,3.477731
-1656.58627,1,3.48471
-3083.000557,1,3.491692
-2105.027628,1,3.497708
-2005.992904,1,3.504694
-3817.108959,1,3.512636
-1349.609084,1,3.519617
-2059.825599,2,3.532583
-5411.69547,1,3.539566
-4137.756708,1,3.547544
-1199.276641,1,3.554526
-4522.982316,2,3.56749
-368-1933.047824,2,3.57447-287-4595.213857,2,3.58743-183-3905.954918,1,3.59541-238-3287.422,2,3.608418
--1076.872662,1,3.616368
--1103.793516,2,3.629325
-3200.119709,2,3.652294
-2795.1342,2,3.668221
-1350.943068,1,3.676201
-4830.022355,1,3.683181
-3104.158024,1,3.69116
-3636.295357,1,3.698141
-3144.26061,1,3.705122
-15-5153.455467,1,3.7041-1045-2525.939782,1,3.710-2663.284702,1,3.725069
-3820.017618,2,3.739032
-1909.825826,3,3.757981
-2673.583596,2,3.771944
-1130.32546,1,3.777961
-1496.703444,1,3.784908
-1079.393741,1,3.790892
-2839.731128,2,3.803889
-2870.077565,1,3.81084
-2973.209542,1,3.817821
-3688.377914,1,3.823805
-1872.807403,1,3.830786
-3140.389333,1,3.837768
-3829.517807,1,3.84475
-1471.262619,1,3.85173
-2223.29591,2,3.864696
-4218.435101,1,3.87171
-1355.5-1323.947042,2,3.-1451.863-2404.116574,2,3-2199.5958-2349.813498,1,3-2899.8765-1577.487355,1,3-1821.391611,1,3.912566
-1283.145354,1,3.919549
-2191.02338,2,3.932516
-2160.110182,1,3.939495
-4523.001698,2,3.95246
-1685.764068,1,3.959446
-3616.031259,1,3.965457
-3672.982026,1,3.972406
-1970.646733,1,3.979389
-3369.92211,1,3.986373
-3514.823228,2,4.000332
-6035.394081,2,4.012299
-5098.410039,2,4.024268
-1019.167248,2,4.040224
-2367.006055,1,4.04621
-1202.075477,1,4.054221
-1506.240853,3,4.072171
-2780.299486,1,4.079157
-3627.423686,1,4.087101
-2716.813784,1,4.093084
-1488.95863,2,4.106049
-1952.838797,2,4.118049
-2021.786138,1,4.126995
-2298.405152,2,4.139959
-5375.136929,2,4.151959
-2437.842181,1,4.159906
-1244.715967,1,4.166887
-2267.612683,3,4.183841
-4387.048221,2,4.196806
-3636.26893,1,4.203789
-5400.118739,2,4.216787
-2788.671742,1,4.224732
-2235.820642,1,4.231713
-2146.334242,2,4.245677
-3649.757609,1,4.252658
-3547.864263,1,4.258673
-1828.445036,1,4.266622
-2839.227576,1,4.273601
-2107.375226,2,4.287596
-2713.801703,1,4.294582
-1866.851319,2,4.306541
-2810.904673,1,4.313531
-6431.319346,2,4.327458
-2213.49058,1,4.334439
-3549.223259,1,4.340423
-1080.428616,1,4.347404
-1983.885255,1,4.354385
-1250.572223,1,4.361368
-2628.478048,1,4.368348
-1250.251307,1,4.376328
-4538.812364,1,4.383307
-2049.671768,1,4.390288
-1513.440597,1,4.389291
-3272.236188,1,4.404252
-3549.019288,1,4.411237
-2041.08808,1,4.418215
-5334.686414,2,4.430215
-1379.661607,1,4.438161
-2238.341515,1,4.445143
-3949.978356,1,4.453121
-1734.024996,2,4.466119
-1479.711113,3,4.48404
-2507.479495,2,4.495008
-1448.266768,2,4.507974
-3859.981714,1,4.514956
-4409.895748,2,4.527922
-1014.412308,1,4.534902
-2274.879474,1,4.540921
-3124.218503,1,4.548866
-3188.529504,2,4.56183
-3617.842891,1,4.567848
-3744.57458,1,4.574796
-18-1471.322214,1,4.574796-34-3768.886391,1,4.580778-13-3202.699801,1,4.58776-392-4157.359999,2,4.602723
-1289.377056,1,4.60970-162-6341.940613,2,4.623699
-4164.577572,1,4.630684
-2293.991884,2,4.64364-115-8420.238762,2,4.65757-218-2781.821967,1,4.66455-331-4197.016074,1,4.671536
-4873.209847,2,4.684502
-1825.852547,3,4.705446
-2515.685071,1,4.712459
-7200.0,1,4.71941
-2654.716875,1,4.726422
-1314.059496,1,4.733372
-1870.940935,2,4.746336
-1749.423494,1,4.753319
-4764.577679,3,4.772266
-1121.25811,1,4.780246
-2892.898659,1,4.787227
-3968.632618,1,4.794208
-6059.919058,2,4.807208
-5763.867291,1,4.81319
-1593.838225,1,4.820139
-2600.533335,1,4.828119
-1997.141227,2,4.840086
-2184.667175,1,4.848065
-1627.456829,2,4.859066
-2011.820271,1,4.86605
-2352.586837,1,4.873996
-3858.635084,2,4.888956
-1420.900841,1,4.894939
-6578.714183,1,4.903914
-3199.058526,1,4.91089-209-3781.796621,3,4.930844
-1480.8782,1,4.937858
-4401.941475,1,4.944806
-1854.093569,1,4.951789
-1250.339705,1,4.958778
-2233.883684,1,4.96575
-5586.842283,2,4.978715
-4264.327099,1,4.985698-19-2193.865381,1,4.992679-1455.445656,3,5.020639
-1229.739301,1,5.028617
-2300.816898,3,5.049559
-1046.777252,2,5.06352
-2170.85178,2,5.077452
-2347.112607,3,5.098397
-1312.175755,1,5.10737
-2813.521984,1,5.114352
-2347.476634,1,5.121334
-1635.922514,1,5.128316
-3329.930275,1,5.136294
-4553.633418,2,5.149258
-1334.29121,2,5.16422
-3701.928505,1,5.170203
-1012.321556,1,5.177185
-1942.517366,3,5.198129
-2814.86221,1,5.205141
-4403.508253,1,5.212127
-4986.760582,2,5.226053
-1491.817829,1,5.234032
-1681.200394,2,5.246
-1732.747678,1,5.252982
-2999.659154,1,5.26096
-6525.043933,2,5.277915
-4361.547699,1,5.283935
-1121.074296,1,5.291877
-5757.352006,2,5.30584
-2787.958585,2,5.319804
-3437.603845,1,5.327783
-3884.044166,1,5.334764
-3434.663422,2,5.348724
-3080.337781,1,5.355705
-3587.418175,1,5.363685
-3575.79169,1,5.371664
-1379.231053,1,5.378646
-2851.727308,1,5.385627
-4354.382726,1,5.393609
-3301.354478,2,5.406572
-2416.178146,2,5.418539
-1808.208456,1,5.424522
-2168.559515,1,5.431504
-4484.269586,3,5.447462
-1516.554839,1,5.453446
-3270.876922,1,5.460459
-2321.55132,1,5.46756
-2008.230396,1,5.474507
-2274.780812,3,5.492894
-1915.769909,2,5.50546
-3840.778174,1,5.51144
-1591.005763,2,5.524405
-2859.854943,2,5.535864
-4073.831895,1,5.54288
-2103.261484,1,5.549691
-2544.389686,1,5.555629
-2959.893379,2,5.568701
-1894.744377,1,5.575292
-1184.200614,1,5.582153
-2982.940117,1,5.588171
-4712.271472,2,5.601168
-3094.100287,1,5.607295
-3394.562417,2,5.618926
-4124.638734,3,5.636704
-4082.674723,1,5.642691
-1866.836414,2,5.656065
-1944.440774,2,5.668061
-5218.419211,2,5.679028
-4464.610687,1,5.685777
-3769.838461,2,5.697765
-2003.735912,1,5.704274
-1988.445905,2,5.716208
-3080.884963,1,5.723202
-2728.162406,1,5.730206
-2151.470638,1,5.737314
-6075.685942,1,5.743901
-2551.145819,2,5.755871
-6554.235389,1,5.763753
-1908.09396,1,5.770771
-2143.556513,1,5.777509
-3655.455857,1,5.783935
-1186.886582,1,5.79091
-1220.549589,1,5.796866
-3169.227596,1,5.8038-2236-1162.192955,1,5.8098-3130-5224.600477,2,5.8220-3477-1620.155731,2,5.83456
-3915.505018,1,5.84174
-1939.149381,1,5.848294
-4193.050344,1,5.854314
-3845.502956,1,5.861559
-1487.92113,1,5.867545
-2930.471841,1,5.873561
-5330.79042,1,5.88051
-1431.231411,2,5.892481
-1381.847369,1,5.900588
-4782.463982,3,5.918336
-3708.679366,1,5.924376
-3246.656262,2,5.935781
-1391.796694,2,5.948748
-1505.426282,2,5.959501
-7466.580724,3,5.977055
-1825.053395,1,5.983631
-8518.151782,3,5.999886
-1088.8437,2,6.012851
-2088.25251,2,6.025784
-3653.241463,1,6.0318
-3676.10177,1,6.038784
-4614.398469,2,6.050719
