#{"t_start": 1638265826.5882916, "env_id": "PathColav3d-v0"}
r,l,t
-5538.081622,2,0.05286
-6508.142847,2,0.075798
-4205.987159,1,0.087766
-4189.883821,1,0.098736-44-1675.095056,1,0.10970-131-2855.42159,2,0.129654-35-4829.906383,1,0.14262
-1511.696472,3,0.192486
-2727.047673,1,0.200464
-1083.826871,1,0.213429
-1928.038123,2,0.212433
--1044.169192,2,0.24335
-1725.226668,1,0.251329
-3623.194954,1,0.25831
-1008.81281,1,0.268284
-5903.162597,1,0.27726
-1164.700593,1,0.287235
-30-1073.213397,2,0.280251-39-6886.572545,2,0.293219
-4676.794673,1,0.3041-2106.221673,2,0.328123
-5542.7269,1,0.335104
-2762.794998,2,0.351061
-1196.127545,2,0.364026
-2992.178532,2,0.381979
-3036.555737,2,0.407908
-4756.410574,2,0.420873
-3101.150065,1,0.429851
-1565.055103,1,0.435834
-2550.244043,1,0.441819
-5494.303851,1,0.450794
-2458.891021,1,0.456778
-7573.439392,2,0.468746
-1782.683,2,0.480714
-1365.371246,1,0.486698
-2495.256147,1,0.492714
-1916.012676,2,0.503685
-1988.510972,1,0.509676
-4159.464714,2,0.520642
-1371.781024,1,0.525629
-3475.343192,1,0.531611
-6903.341507,2,0.544543
-4037.319194,1,0.54953
-3335.328252,4,0.56951
-2836.398754,2,0.580485
-3374.86628,1,0.586463
-5498.378819,1,0.59245
-3944.959078,2,0.60538
-1045.798617,1,0.611365
-3881.789758,1,0.617384
-1679.113379,1,0.623364
-1062.612771,2,0.634336
-2939.61884,2,0.646304
-3762.380852,1,0.652257
-1499.395451,2,0.664258
-2151.485861,1,0.669245
-1269.246005,2,0.681212
-2363.20785,4,0.702154
-1384.631896,2,0.712129
-1351.668415,1,0.718115
-1461.44561,1,0.724095
-6130.477007,2,0.735066
-2066.464201,2,0.746039
-7094.330289,2,0.757974
-4320.651003,1,0.76296
-3720.921704,1,0.77097
-6326.595056,1,0.776954
-2539.644977,1,0.782938
-1391.716887,1,0.788925
-2727.002867,1,0.794906
-3794.532223,2,0.806875
-2695.480154,1,0.813855
-1347.813136,1,0.819841
-1600.253436,1,0.827818
-3928.5325,1,0.834799
-1599.984253,1,0.840784
-5573.692804,2,0.852754
-3958.653459,2,0.863724
-3538.170281,2,0.874692
-1865.355056,2,0.886661
-3019.365046,1,0.893646
-2868.583227,1,0.899627
-2689.928052,1,0.905612
-1080.906524,2,0.920537
-4720.046544,3,0.937492
-3771.735569,3,0.957439
-2478.492695,3,0.973396
-3668.836933,1,0.97938
-1177.651103,2,0.992345
-2373.485209,1,0.99833
-2510.724413,2,1.011295
-4300.010963,2,1.023263
-1813.318252,2,1.037225
-1249.237749,2,1.048196
-5587.533691,1,1.054179
-5938.997898,1,1.061161
-1625.971086,1,1.067146
-1951.431568,1,1.072132
-1611.780898,2,1.0841
-2676.180776,1,1.089086
-5263.58335,2,1.101081
-3110.329297,2,1.112057
-3658.511373,1,1.118042
-3022.655484,2,1.129013
-1004.990175,1,1.134999
-4701.753648,2,1.14697
-4753.361371,2,1.156937
-1812.779358,1,1.163921
-1996.258369,1,1.169871
-1125.814682,2,1.182837
-1787.847577,1,1.18882
-1260.004112,2,1.201787
-5516.911463,1,1.209766
-3008.970984,1,1.21578
-1322.895966,1,1.221764
-1535.221043,1,1.228715
-4187.18491,1,1.234697
-1249.260791,1,1.240716
-3468.42167,3,1.258666
-3334.938037,1,1.264652
-4272.340167,1,1.271631
-1169.948805,1,1.277584
-2832.872346,1,1.285594
-1006.41743,2,1.297529
-6354.766261,1,1.303513
-3706.490569,1,1.309529
-1334.974441,1,1.315516
-3021.563839,1,1.320508
-2555.478824,1,1.-2364.061-8560.415038,2,1.-3404.514597,2,1.334432
-2465.62-9062.549912,3,1.359365
-2106.391307,2,1.371367
-3282.419265,3,1.390283
-4709.135762,1,1.395268
-2039.122159,1,1.402249
-1770.747134,1,1.408233
-2969.623119,2,1.420201
-3271.569442,2,1.432203
-1627.343264,1,1.438193
-1803.961397,1,1.443175
-1862.631978,1,1.450154
-2520.795931,1,1.456142
-2083.1498,2,1.465113
-3470.586804,2,1.478081
-1101.802698,1,1.484064
-3206.992703,1,1.490048
-1464.891558,1,1.496033
-1161.922465,1,1.502017
-3689.403559,1,1.508966
-1810.895269,1,1.513952
-1854.230162,1,1.520933
-2524.131988,1,1.526917
-5408.32943,2,1.538886
-1073.078295,2,1.551849
-2704.807049,2,1.564816
-1195.087984,1,1.572793
-4723.48871,1,1.578812
-2305.460839,1,1.58576
-3813.303665,2,1.600718
-1016.454253,1,1.60873
-5287.272872,2,1.621697
-1123.300116,2,1.63463
-4854.032628,1,1.640612
-8688.008904,2,1.654607
-1930.10508,1,1.660592
-2610.102346,1,1.667541
-2183.155028,2,1.679507
-3515.50828,1,1.685526
-4055.851718,2,1.697492
-3362.826283,1,1.703477
-7340.522352,3,1.721396
-3042.435773,1,1.728379
-3819.471655,1,1.735359
-2289.18194,2,1.749321
-1123.761532,1,1.756335
-5000.352524,1,1.762321
-1504.268426,2,1.774287
-4746.041716,1,1.781267
-2834.797459,1,1.788218
-1472.362973,1,1.794202
-1321.881357,1,1.800184
-1060.784633,1,1.807168
-2837.23087,3,1.82515
-3171.196702,2,1.83609
-2416.185544,3,1.856035
-2579.963707,2,1.869035
-1505.4183,1,1.875983
-1314.933075,1,1.882001
-1188.403556,1,1.887952
-1728.038503,1,1.894931
-1411.896245,1,1.900917
-4871.562547,1,1.906901
-3410.131015,1,1.912916
-3343.062208,1,1.918867
-2049.138358,1,1.924886
-2521.382523,2,1.934859
-3944.295365,1,1.941806
-3978.594578,3,1.959759
-2205.215073,2,1.970767
-3840.145453,2,1.982729
-4201.345657,2,1.994697
-3818.475423,2,2.006667
-4634.364787,2,2.020633
-3631.289216,2,2.033595
-8428.460742,2,2.046561
-2155.130027,2,2.060524
-3935.640458,1,2.067503
-2711.180516,1,2.074484
-2513.919201,2,2.087449
-4912.870803,1,2.094437
-1777.643843,2,2.107396
-1579.300419,4,2.133294
-3627.060704,1,2.14031
-1245.554688,1,2.147289
-2750.308918,1,2.153275
-2159.099638,1,2.16026
-4027.235194,1,2.167236
-2651.908978,1,2.175215
-4517.11454,1,2.181201
-2567.000538,1,2.188182
-4553.601562,1,2.195163
-3290.394696,2,2.209091
-2248.240577,1,2.215075
-3214.920757,1,2.223053
-1019.898759,1,2.23007
-2739.607945,2,2.241005
-1864.605854,1,2.249019
-3612.190763,1,2.255001
-2043.607931,1,2.260984
-1048.235753,1,2.266969
-1298.653745,2,2.277906
-1388.474623,1,2.283925
-2149.285984,1,2.290905
-1112.970112,1,2.296856
-9003.933748,2,2.308856
-2655.23535,1,2.314841
-6508.579252,1,2.320827
-1065.465467,1,2.327808
-5835.560801,3,2.345758
-3743.46432,2,2.355734
-1031.293292,1,2.362713
-1372.042248,1,2.368699
-1004.739304,1,2.376678
-2575.5765,3,2.392635
-5117.961112,2,2.403605
-2512.735342,1,2.410553
-1272.511642,1,2.416537
-1492.925355,1,2.421524
-3240.884702,1,2.427508
-2322.910171,1,2.4-2901.44-2268.740163,1,2.4-1398.631211,2,2.437481
-3444.651753,2,2.44945
-2453.181055,2,2.461418
-4361.558773,1,2.467402
-2706.004264,1,2.473386
-3600.008442,2,2.485354
-5113.09155,1,2.491338
-1670.351635,1,2.497322
-4080.428947,1,2.504303
-3634.790466,1,2.510287
