#{"t_start": 1638351831.7875507, "env_id": "PathColav3d-v0"}
r,l,t
-330.8436,210,4.973046
-3-358.685354,260,6.343381
-4-235.388043,222,7.427481
-2-357.387769,244,8.632849
-3-419.143284,224,10.438087
-4-308.121104,192,11.398302
-3-365.065305,232,12.479347
-1-267.679897,308,13.909024-31-280.785999,186,15.577181-25-321.648242,262,16.877998-28-459.195962,246,18.042755-45-445.576297,314,19.563959-23-262.062676,243,21.567039-39-257.311816,271,22.98247-415-481.799011,194,23.86975-318-317.075982,271,25.06744-529-346.567349,285,27.31894-280-385.991563,233,28.434429
-265.961416,228,29.492703
-327.80026,208,30.46421-314-638.198094,197,31.44143
-342.080823,285,33.738169
-571.014773,258,35.013524
-320.617359,253,36.208751
-350.815187,219,37.356873
-347.318861,220,39.2-374.728-288.029179,209,40.1-458.516-318.999715,186,41.048695
-335.53184,230,42.06-309.40-465.638638,250,43.242216
-345.107343,165,44.77-303.72-326.718921,165,45.57-294.23-300.518385,233,46.64-297.60-297.652092,198,47.61-376.48-1016.588372,294,49-335.66874-468.1822,308,51.2-447.595-238.618669,201,52.3-331.529-331.799964,187,53.1-371.903-294.610914,318,54.6-258.395-299.885925,197,56.3-338.560989,264,57.441027
-290.208292,187,58.353171
-297.575443,268,59.609437
-343.2-246.267381,250,61.321-503.6-286.901339,247,62.452-240.-1000.0257,353,64.14887-401-408.782597,170,64.9196-432.-245.961962,157,65.6052-288.-248.400619,203,67.2350-310.-247.006379,220,68.2189-391.-260.986982,163,68.9719-271.-238.253299,169,69.7447-271.217834,232,70.863307
-336.235208,225,72.58966
-256.743453,189,73.476784
-387.041853,175,74.283029
-211.842528,205,75.194258
-340.354829,176,75.946714
-308.968875,204,78.017959
-332.327336,203,79.252658
-377.311245,187,80.279317
-316.764805,243,81.530273
-333.296345,238,82.84862
-401.38104,204,84.728398
-356.835435,199,85.609139
-321.993022,269,86.922601
-1034.890471,205,87.945222
-266.705086,287,90.155466
-274.8579,234,91.216452
-297.334722,195,92.122622
-327.778725,303,93.512374
-378.472989,195,94.566984
-289.398871,186,96.226265
-333.40215,249,97.417614
-350.859452,228,98.456333
-477.643819,276,99.815741
-287.593087,198,101.413126
-231.307856,203,102.341854
-252.779328,176,103.31705
-516.846001,181,104.145802
-217.667763,211,105.077392
-232.308376,190,106.065616
-314.136661,215,107.944758
-484.744036,215,108.932369
-348.60693,271,110.397331
-330.141288,212,111.73575
-513.858715,205,113.662723
-267.587321,199,114.610722
-374.674212,250,115.748645
-338.136229,207,116.689024
-454.373585,172,117.461853
-300.605465,188,119.061055
-355.333507,195,119.988768
-393.121083,283,121.298985
-275.952901,342,122.840152
-379.702843,262,124.693587
-301.873807,256,125.856797
-259.085263,195,126.819194
-247.752088,222,127.897962
-334.876022,203,128.793729
-607.662897,213,130.508279
-274.428314,234,131.544811
-252.246648,266,132.754563
-301.021005,198,133.670827
-328.312581,294,135.841171
-313.77244,213,136.874609
-306.987694,224,137.856428
-6-404.319736,236,138.913337
-1-429.657268,204,140.637493
-4-249.133563,241,141.702734
-3-434.536822,234,142.944615-26-312.347913,212,144.032075-25-295.092377,195,145.11354-345-280.432914,227,147.70960-290-242.434436,195,149.0909-366.-187.156782,217,150.4482-245.-350.500697,223,151.8375-284.-425.392979,244,153.3570-279.-343.183236,217,155.371-246.0-370.499725,276,156.994-501.3-357.146062,186,157.962-397.-449.230632,212,159.0815-333.-257.570139,210,160.9488-281.402451,270,162.459513
-215.200485,236,163.62541
-327.099192,208,164.687677
-711.227312,237,165.851567
-400.251434,194,167.718763
-323.253504,207,168.887999
-338.22783,179,169.716708
-387.64724,222,170.711748
-326.133076,211,171.639815
-304.489349,233,173.481735
-599.101233,215,174.464357
-341.276262,191,175.380081
-378.764959,236,176.534935
-405.305955,207,177.559183
-227.560022,216,179.5696
-274.43918,212,180.574047
-292.520103,192,181.468906
-308.118246,187,182.325217
-278.851056,181,183.158011
-1002.537824,189,185.236443
-259.196696,234,186.400614
-324.692704,186,187.279559
-231.169981,169,188.024556
-284.243028,182,188.953496
-315.75997,270,190.927857
-205.814037,236,192.00978
-459.093244,249,193.079165
-444.210911,232,194.125321
-417.39545,254,196.044571
-328.482393,253,197.158353
-328.422084,223,198.232838
-428.760065,193,199.274304
-367.488534,229,200.267458
-420.761794,210,201.948594
-271.948306,221,202.970879
-426.814801,302,204.334995
-322.163749,199,205.222645
-415.211256,207,206.893973
-333.92424,268,208.08881
-312.723902,284,209.352083
-484.891778,201,210.277723
-329.078978,240,212.18799
-332.37054,274,213.457126
-306.618603,212,214.551018
-322.385849,198,215.535387
-390.642291,294,217.779129
-465.086277,341,219.476249
-529.825415,252,220.611892
-458.974845,334,222.187476
-599.352124,189,223.760363
-455.252083,183,224.624233
-40-596.940995,408,225.85279-387-526.365484,241,226.94893-351-372.968826,314,229.0444-261-374.998521,248,230.1514-380.571077,329,231.543391
-336.-504.577283,376,232.9050-465.-380.663082,358,235.19-518.097166,363,236.266283
-491.284578,388,238.009077
-482.918503,296,240.172732
-337.75053,256,241.275263
-426.361724,204,242.263277
-572.949164,283,243.658103
-502.626115,280,245.743066
-400.115869,274,247.062543
-377.751-482.458783,317,248.1-441.785-514.922953,261,249.3-476.038-353.870703,199,251.-417.4239-307.102238,237,252-343.406024,254,253.282008
-420.42765,257,254.540354
-342.461792,218,256.229228
-289.247409-341.021064,291,25-261.670297-422.09548,280,258-316.21336-343.779643,222,259-400.2512-397.989233,258,261.-313.3310-321.487747,251,262.-420.3962-443.897276,292,263.772695
-477.336123,243,264.966232
-472.155502,273,266.993504
-428.978753,247,268.174464
-285.039887,256,269.409837
-426.859822,188,270.342381
-291.416934,196,27-367.072011-363.414616,227,27-423.714673-586.636514,254,27-264.321394-387.127579,300,27-420.33016,-452.592051,277,276.959615
-444.925313,274,279.125659
-362.32372,252,280.311732
-476.822578,249,281.424343
-312.420502,213,282.416096
-381.877935,188,283.993524
-333.211934,199,285.015857
-277.92709,196,286.05811
-457.18548,170,287.180564
-322.102321,169,288.010684
-307.280783,175,289.-258.7128-351.138558,182,290.-238.5453-418.38523,182,291.1-424.759-256.8618,201,291.996962
-355.13936,164,292.7826-343.-1000.906666,337,295.158877
-303.434676,185,295.992924
-340.275334,202,296.930969
-321.037048,211,297.912793
-409.372132,217,298.943251
-281.544466,185,301.553237
-438.36528,188,303.034268
-569.07257,265,304.95845
-371.342295,190,306.122337
-306.046637,195,307.053333
-286.934632,166,308.53249
-463.153387,240,309.762223
-273.541857,194,310.885767
-219.123113,167,311.670128
-328.43023,205,312.591787
-305.501307,233,314.338603
-288.877938,214,315.297265
-321.944363,241,316.398207
-290.692357,201,317.302622
-242.387967,188,318.121426
-358.686121,228,319.785747
-698.387136,292,321.069335
-365.33848,237,322.150359
-386.630834,246,323.295808
-259.763599,204,324.939635
-467.245236,247,326.086974
-376.278227,220,327.11978
-302.423886,194,327.998761
-317.817786,210,328.954843
-286.578722,200,330.668297
-238.54672,220,331.726712
-438.861911,260,332.888112
-428.992964,203,333.827633
-557.174368,285,335.997587
-291.224814,199,336.962479
-379.743303,202,337.947219
-307.131274,245,339.078785
-384.804068,210,340.110889
-411.738402,211,341.90656
-251.405174,183,342.782598
-379.023452,207,343.722654
-384.075572,262,344.991369
-298.289018,200,345.93335
-275.593151,180,347.453388
-316.655465,213,348.402748
-339.281511,184,349.224355
-276.257742,205,350.124534
-301.934855,183,350.984836
-365.914331,203,352.677435
