#{"t_start": 1643224232.0397046, "env_id": "PathColav3d-v0"}
r,l,t
-1000.546161,678,6.081895
-1-1000.136038,739,10.078242
-710.595318,595,12.628974
-1001.857761,223,14.29565-1000.892796,783,15.372281
-1001.84334,527,17.80677
-1005.480253,262,20.144512
-1005.587263,236,21.341115
-926.968604,653,25.292763
-519.0351,390,27.597623
-1003.413688,231,29.5145
-1014.832883,443,32.964838
-1002.148429,630,35.802947
-1031.276187,91,36.235771
-1000.885567,528,39.599039
-1009.472388,474,42.46541
-1001.197324,433,46.161532
-1002.758012,337,49.046913
-1003.324737,542,55.452997
-10-1002.047235,556,57.479251-1000.615119,658,60.577375
-379.395245,561,63.089133
-461.331703,595,66.35996
-1015-466.871093,827,68.80455-1000.153537,590,69.914445
-1000.75266,802,74.06508
-1005.482619,549,77.192891
-1000.429498,592,79.815613
-431.263893,632,83.491673
-1000.202658,655,87.19323
-1002.641614,563,89.69379
-1003.04955,298,91.0928
-264.331586,343,93.465906
-1001.397978,646,96.279233
-332.991206,364,98.599039
-1000.642881,466,100.547305
-1000.662796,863,105.005413
-1001.785721,274,106.163996
-1000.618788,357,108.330566
-1014.180188,67,108.672971
-1003.252863,663,111.578847
-1000.451384,531,114.701053
-551.993695,677,118.304493
-1000.4191,960,122.511239
-1000.197548,711,126.273335
-358.810625,714,130.075575
-1001.427794,270,131.236708
-1005.181826,504,134.043117
-399.319922,237,135.102703
-985.948926,448,137.043545
-691.685121,550,140.110558
-1000.56061,527,142.545856
-1001.614473,262,144.504353
-1000.126286,804,148.224771
-494.939972,311,150.278902
-1000.241328,1154,156.0627
-447.715001,709,159.946655
-1000.461232,566,162.679745
-1003.142024,221,163.839378
-1002.621979,459,167.046967
-1002.733772,618,169.945348
-1000.289241,616,173.476115
-327.798974,822,179.247729
-1000.658117,784,183.202255
-416.087601,765,187.493659
-1006.267552,438,191.297051
-1000.315969,1196,198.609719
-1006.710649,203,199.769013
-1000.367378,416,202.514017
-1012.12827,503,206.683971
-1001.179239,1153,213.691672
-1000.586316,745,218.301009
-710.541982,2047,231.125863
-604.247649,1059,236.748398
-1003.086308,583,239.442057
-1000.162923,403,241.933944
-1000.761876,515,244.504749
-1001.884991,453,247.096556
-1000.269171,723,250.900271
-511.509075,555,256.266735
-1000.255099,678,263.122208
-872.628083,697,267.791545
-1007.675691,273,270.727749
-698.328964,727,274.78092
-1007.998044,130,275.436712
-1006.964559,231,277.695813
-584.867247,831,281.922753
-1000.771067,258,284.012592
-577.490438,668,286.998652
-549.599333,708,291.799564
-1015.191653,124,292.356849
-478.247312,676,296.141006
-1002.382449,521,298.430538
-845.249864,420,300.902263
-887.297747,764,304.885444
-356.542576,622,307.761956
-337.718261,494,310.639195
-1003.06401,245,311.751714
-1000.28988,822,315.88053
-1000.93235,602,318.417241
-600.834107,552,321.4809
-1000.690133,438,323.557509
-1001.559732,148,324.174901
-1006.909887,229,325.772099
-648.488961,465,327.782125
-1002.734658,1248,333.77011
-1000.493188,889,338.18027
-1014.755805,172,339.027388
-1004.168777,379,341.487434
-1001.604355,616,344.296875
-1001.540097,510,347.158013
-1000.414673,1802,355.67904
-1000.348532,1217,362.139632
-1011.412171,403,363.897944
-1000.036079,339,365.300472
-1009.552854,583,368.429896
-1002.151678,526,370.709259
-832.561477,614,374.242203
-1000.51493,648,377.903941
-1003.044909,164,378.704766
-1008.746165,600,381.249456
-1000.846128,410,383.912836
-401.414816,837,388.219229
-266.906352,352,389.778927
-1033.562221,71,390.106992
-557.602458,382,391.794827
-1002.115061,292,393.798809
-641.985829,840,398.222982
-1021.132298,134,398.781518
-1000.786169,2517,411.145686
-1000.039972,1041,416.258506
-1000.851584,1884,425.603873
-1000.00855,1278,431.643231
-1001.765615,493,434.441391
-472.656022,1319,440.924257
-959.914463,720,444.719706
-1000.029064,1918,454.232032
-814.183867,738,457.443348
-1004.318256,166,458.899618
-1011.075007,261,460.096596
-1000.147901,2095,470.350372
-1000.348632,750,474.238247
-633.01809,832,478.324593
-649.822408,1580,486.421292
-1001.108208,791,490.503077
-570.613095,437,492.373936
-1002.229087,641,495.99415
-452.757187,1164,501.717424
-1000.970662,380,503.424267
-1004.613743,406,505.801978
-652.139959,725,508.927793
-1007.235952,170,509.651405
-572.44171,397,512.063201
-1003.899914,877,516.543509
-1000.016121,1529,523.7114
-1000.513062,515,526.501495
-508.742731,1007,531.592767
-1000.50019,529,533.895061
-1002.676731,901,538.454403
-681.727497,649,541.854163
-1001.161575,461,543.831953
-650.689455,3304,560.562356
-1005.322098,438,563.113026
-1000.776185,693,566.875996
-967.733268,607,569.567604
-541.601515,850,574.088398
-1006.491734,375,575.7984
-1001.48281,119,576.311007
-470.179591,356,578.561745
-1011.555957,158,579.348606
-1001.54545,444,581.332442
-457.231606,1664,589.733358
-1005.471117,380,591.373885
