#{"t_start": 1634760000.3396387, "env_id": "PathColav3d-v0"}
r,l,t
-3628.928315,501,13.894479
-7833.9494,501,17.780083
-731.680748,232,20.952734
-3327.179528,501,25.334017
-1509.153397,236,27.279812
--3449.087641,448,30.853371
-12939.081627,501,32.59206
-2929.645582,501,36.029545
-4311.973524,501,38.904324
-445.01743,195,39.944489
-1553.498427,501,43.289023
-876.324488,347,45.371098
--954.912137,501,47.407148
--2115.172692,501,50.67863
-3191.112771,501,53.277486
-1447.329325,501,56.512571
-528.858846,315,58.014554
-510.470196,226,59.140118
-1367.629621,501,62.41877
-1545.671891,501,65.051976
-683.74104,501,68.568876
-911.314876,501,71.296611
-1391.693436,501,74.537013
-685.631878,501,76.992728
-717.928154,501,80.268052
-591.819874,400,82.18428
-697.413895,501,85.331585
-369.568246,231,86.495792
-829.23235,501,89.056234
-534.269199,471,92.228735
-429.281185,324,93.779587
-674.676969,501,96.979031
-541.335311,501,99.643447
-661.163821,501,102.982847
-544.779596,501,105.669799
-583.819976,501,108.781097
-618.990124,501,111.362204
-752.895351,501,114.556272
-259.789393,204,115.622372
-829.438011,501,118.153394
-713.571038,501,121.254634
-538.751184,416,123.399033
-705.750241,501,126.647241
-638.466672,501,129.183367
-733.724338,501,132.46003
-330.499062,191,133.483697
-678.172293,501,136.023196
-739.234393,501,139.308147
-634.02813,501,141.901835
-640.61279,501,145.178938
-694.622974,501,147.784133
-645.907066,501,151.081759
-827.305626,501,153.674921
-374.685536,236,155.43181
-620.165113,501,158.007812
-734.183422,480,161.099518
-700.383717,501,163.699563
-688.915554,501,166.934823
-557.180584,501,169.544161
-295.075245,201,170.577974
-349.236329,267,171.860545
-323.93192,202,173.709123
-187.914262,178,174.755324
-317.068259,234,176.2972
-406.848763,338,178.07309
-650.701146,501,181.182433
-226.343699,224,182.384168
-287.304225,280,183.809463
-658.115952,501,186.899553
-207.330695,149,187.655435
--554.186536,501,189.238805
-747.331763,501,191.911869
-588.781226,501,194.458975
-492.18537,345,196.832627
-582.641069,501,199.472346
-536.248605,501,202.767153
-555.102846,460,205.22278
-651.460362,501,207.85102
-276.992004,276,209.863227
-630.185125,501,212.472283
-643.7754,501,215.733016
-654.820132,501,218.382484
-311.328276,293,220.578589
-331.391294,304,222.095683
-584.126245,501,224.555922
-344.168229,299,226.731099
-572.790462,501,229.279839
-531.416932,501,232.558154
-526.487629,406,234.722409
-292.72329,263,236.005734
-611.351319,501,239.224257
-593.393189,501,241.858812
-576.222882,501,244.986412
-606.911495,501,247.537214
-433.503032,362,250.059296
-648.45568,501,252.620753
-641.675768,501,255.927245
-647.286784,501,258.524364
-600.170175,501,261.155136
-461.008178,371,263.722236
-679.500664,501,266.40073
-661.971641,498,269.569764
-646.412353,501,272.031491
-414.842886,365,274.577197
-505.760585,468,277.060741
-145.356854,155,277.864555
-592.835905,501,281.057257
-283.394333,186,281.944421
-596.966402,501,284.521594
-751.852436,501,287.773234
-507.571673,410,289.795425
-444.614345,328,292.066313
-567.177442,501,294.629328
-430.028798,347,296.367494
-274.927406,248,298.27001
-607.331329,501,300.799225
-660.972198,501,304.133848
-244.014911,197,305.18674
-653.438839,501,307.817225
-262.025506,234,309.684205
-528.332638,501,312.298829
-561.720923,501,315.634995
-634.38276,501,318.073661
-594.981677,501,321.383282
-756.59178,501,323.84036
-623.82306,499,326.956399
-585.351313,486,329.513135
-653.17341,501,332.718528
-591.86879,501,335.286095
-491.796416,360,337.160352
-231.812583,199,338.795983
-779.614485,501,341.289729
-204.655212,198,342.205875
-460.186108,368,344.769569
-551.721062,501,347.356188
-614.84568,501,350.585782
-575.26233,501,353.11448
-569.83225,463,355.354524
-239.042301,228,357.155885
-528.487101,501,359.766232
-295.012443,253,361.050296
-576.890904,501,364.328393
-713.15761,499,366.829138
-420.293956,375,369.363436
-576.406184,501,371.866297
-618.560664,501,375.083144
-454.108643,325,376.727719
-554.480839,501,379.910746
-654.405008,501,382.32906
-478.130149,380,384.315084
-450.396233,376,386.919789
-196.353778,164,387.783246
-204.424348,239,388.942779
-563.37361,501,392.030336
-491.752259,372,393.78066
-307.533566,227,394.835835
-752.34781,501,398.017631
-537.278281,371,399.894583
-549.060928,485,402.94593
-410.325681,389,405.000349
-559.818179,501,407.623381
-327.093055,317,409.867486
-365.168614,313,411.457606
-242.112371,255,412.671395
-661.148489,501,415.929089
-419.056304,413,418.028394
-575.919371,501,421.270305
-524.942205,485,423.793557
-317.740013,224,424.983994
-738.407348,501,428.173912
-420.119733,425,430.218905
-760.165613,501,433.395887
-501.888544,420,435.565683
-469.632589,349,437.936274
-689.499025,501,440.41472
-299.117094,267,441.724521
-686.428384,501,444.691617
-590.885008,501,447.246785
-577.789085,501,450.304932
-604.301536,501,452.835701
-555.010621,422,455.694415
-309.735109,327,457.366817
-563.747852,501,459.895921
-470.853878,356,462.290703
-323.640079,304,463.695216
-596.741743,501,466.905687
-435.099671,368,468.695333
-509.48765,483,471.15088
-300.172273,273,473.139261
-506.143696,501,475.925179
-524.927714,474,478.999644
-512.046619,466,481.413745
-563.45852,501,484.647607
-432.017713,328,486.24583
-595.166309,501,488.807184
-328.747054,319,491.002945
-746.738803,501,493.587066
-593.504127,501,496.760432
-281.208427,257,497.974028
-509.397662,501,500.514235
-666.925367,501,503.755766
-585.696237,501,506.313731
-619.026045,501,509.562524
-516.109049,489,512.136731
-607.592552,501,515.428345
-472.603396,496,517.969889
-649.892285,501,521.184026
-701.914546,501,523.718011
-337.60362,274,525.685364
-577.396057,501,528.183434
-521.701267,403,530.812215
-613.836157,501,533.408794
-625.651962,501,535.932168
-220.811978,208,537.610687
-658.950737,501,540.122751
-483.381147,442,543.004034
-591.810451,501,545.587421
-622.317096,501,548.875588
-541.122448,501,551.394948
-625.093847,501,554.6684
-477.917985,382,556.641855
-517.363074,436,558.678442
-411.220296,339,560.975887
-330.676459,276,562.42747
-541.187525,501,564.956665
-624.753586,501,568.215987
-597.02172,501,570.893269
-494.101876,501,574.118047
-563.445551,501,576.562387
-251.843097,228,578.347359
-245.109722,214,579.505411
-487.346122,501,581.959297
-548.140931,458,584.974616
-341.462574,330,586.750105
-357.134595,271,588.570029
-730.831223,501,592.577698
-585.801698,501,596.287776
-689.89295,501,600.489538
-599.903658,501,603.291391
-568.129979,501,607.2922
-769.8541,501,610.467706
-455.546285,311,613.428787
-558.422133,501,616.557418
-600.388578,501,620.586002
-568.754736,501,623.736343
-572.819941,501,627.728659
-631.612021,501,630.562612
-633.658411,501,634.491643
-448.426299,433,637.075526
-510.783707,501,640.108414
-555.271725,425,643.465436
-186.192271,188,644.669216
-566.75956,501,648.656064
-570.540065,501,651.62612
-361.96813,308,653.525043
-306.892384,253,655.859797
-734.162279,501,659.007888
-608.199102,501,662.726975
-669.616168,501,665.648128
-558.233348,501,669.322301
-454.207916,501,672.260549
-227.183887,203,673.349636
-263.28422,254,674.687059
-593.329638,501,678.218581
-490.527027,378,680.37834
-504.451469,446,683.646019
-230.728447,226,684.924568
-291.462093,280,686.491415
-610.717604,501,690.203451
-490.47361,369,692.3561
-516.062525,501,695.912734
-467.338057,417,698.342236
-523.886868,501,701.350466
-597.908234,469,704.889998
-527.444538,429,707.4691
-310.828598,318,710.173867
-185.905494,189,711.29786
-539.523625,501,714.312797
-476.402167,475,717.976
-542.933109,501,720.949065
-594.226011,501,724.773837
-506.934736,501,727.683055
-582.383361,501,731.452974
-573.389501,501,734.380145
-663.816917,501,738.0982
-570.362312,501,741.116128
