#{"t_start": 1634713766.5162709, "env_id": "PathColav3d-v0"}
r,l,t
-1936.682581,501,8.628983
-8586.807036,501,12.216388
-14898.157566,501,16.909265
-2647.486733,501,20.050904
--2842.672383,501,22.939849
-1-3914.309576,501,25.972647
-2-1270.183163,501,29.512948
-2-3548.656519,501,32.411199
-3-1816.233023,501,36.574062
-8-1332.03896,501,39.206071
-1-520.875887,264,41.551732
--2271.751748,501,44.389875
--3414.514448,501,48.264776
-1-589.948144,346,50.20781
-1226.896827,501,52.929845
-9-1301.230861,501,56.676032-11-3852.131413,501,59.924744-12-1087.150533,501,63.755847-96-729.838388,501,66.50054-531-1487.208036,501,70.4051-774-719.556659,501,73.12278-103-737.263907,501,76.578669-70-743.372692,501,80.282194-56-627.852259,501,83.956853-75-735.012044,501,86.62080-653-364.267197,260,89.01437-746.568961,501,90.586068
-777.657494,501,93.309821
-631.310616,501,96.852601
-745.564368,501,99.50369
-793.789841,501,102.942407
-618.428269,501,105.721494
-503.011701,417,108.733057
-318.441933,261,109.993603
-609.806007,501,112.614482
-649.079689,501,115.978762
-700.569386,501,118.618879
-398.392613,285,120.885155
-523.093912,417,123.287463
-2-652.446044,473,124.283184
-3-647.142791,501,128.143321
-5-627.289826,501,130.761345
-6-232.43047,179,131.62717
-585.752358,501,134.288388
-617.623812,501,136.382787
-329.446186,232,137.480125
-685.789182,501,140.872949
-666.0344,501,143.660917
-736.331339,501,147.124716
-705.40765,501,149.914701
-308.537986,247,151.236075
-4-486.077852,373,153.722427
-5-708.031917,501,156.531716
-4-723.058846,501,160.034257
-4-146.033276,112,160.589245-58-612.528432,501,163.063455-31-702.670741,501,166.286167-59-660.487173,501,168.672781-58-651.548225,501,171.998055-76-678.288911,501,174.55675-749-776.899909,501,177.938194
-623.316855,501,180.49886
-111.397731,134,181.103244-45-615.558204,501,184.30040-672-632.012037,501,186.732069
-612.690634,501,190.007312
-362.945814,315,191.615533
-527.855915,347,194.36085
-577.539857,501,197.359729
-673.043108,501,200.12832
-273.675992,179,201.883867
-808.958626,501,204.509207
-463.439763,367,207.062986
-623.170378,501,209.600282
-789.921915,501,212.037762
-784.036069,501,215.376864
-641.849014,501,217.989878
-335.683952,326,220.408147
-328.733391,304,221.978949
-821.319446,501,225.064265
-647.215311,501,227.546038
-374.163647,349,229.276704
-532.969095,501,232.644702
-939.655317,501,235.248118
-448.41383,373,237.880566
-605.553263,501,240.501473
-185.139367,166,241.354693
-585.423804,501,244.616374
-655.288057,501,247.056746
-498.425848,453,250.078275
-503.371563,437,252.360468
-652.170432,501,255.583117
-173.976093,136,256.227278
-695.730313,501,258.81984
-223.106215,214,260.620189
-353.222404,306,262.205515
-726.910454,501,264.742729
-832.735134,501,268.037388
-619.80273,501,270.643723
-494.924544,501,273.944826
-752.096029,501,276.502893
-573.189454,501,279.731509
-312.674441,257,280.947225
-419.824704,395,282.881053
-478.119332,452,285.948325
-593.698581,501,288.484056
-812.517715,501,291.817312
-569.801713,501,294.361187
-627.911642,501,297.634343
-519.631483,501,300.239423
-355.298672,316,302.521438
-598.901613,501,305.110206
-511.281749,397,307.789371
-658.057977,501,310.330312
-351.062046,267,311.717945
-479.260448,419,314.561545
-302.638617,248,315.762367
-212.222526,218,316.856359
-498.516974,452,319.837095
-558.979911,501,322.318425
-187.201769,175,323.1566
-262.492051,233,324.345081
-547.35891,501,327.715305
-554.318833,501,330.386036
-273.135678,226,332.283934
-301.830735,215,333.315797
-586.717959,501,336.066304
-150.382285,160,337.573337
-598.649553,501,340.381778
-203.54239,194,341.410034
-243.642312,207,342.454321
-146.480049,157,343.924574
-200.51172,154,344.735708
-613.138078,501,347.35693
-487.259546,459,350.419836
-567.392908,501,352.975998
-288.899951,223,354.028785
-253.120686,270,356.099969
-539.529433,501,358.65713
-286.688079,224,359.829994
-280.51057,291,362.065908
-302.15486,230,363.209274
-558.972281,501,365.806662
-575.183991,501,369.113994
-301.763082,281,370.598487
-592.362586,497,373.906247
-147.994683,171,374.78135
-411.336834,421,376.903905
-507.037074,501,380.206899
-338.219611,315,381.828539
-329.675096,345,383.663631
-302.882565,235,384.763019
-303.419226,289,386.947815
-168.157305,177,387.77236
-209.274309,198,388.710967
-500.064674,457,391.645355
-363.945085,316,393.17783
-613.5166,501,395.655185
-548.782171,501,399.046748
-281.64392,253,400.262827
-160.979288,178,401.174318
-333.114793,273,403.326201
-185.60928,164,404.198622
-532.080898,501,406.784514
-526.524218,501,410.083432
-275.016211,240,411.268279
-396.791096,355,412.99481
-230.320575,202,413.981321
-150.894858,143,415.437675
-613.054945,501,417.921034
-339.751353,280,419.371298
-497.806547,501,422.652939
-252.421797,275,424.038234
-162.313146,159,424.873256
-459.79774,501,428.199234
-100.390584,142,428.847547
-452.461907,426,430.878882
-342.558852,262,432.932096
-126.695343,160,433.701139
-466.988389,447,435.939595
-569.384904,501,439.110986
-126.153986,148,439.784769
-168.912782,163,440.581204
-234.007861,197,441.514805
-472.506845,501,444.773569
-139.187741,154,445.505609
-121.383156,148,446.238648
-375.22898,323,447.919154
-164.621754,173,448.752018
-305.061809,270,450.794791
-340.892917,274,452.283967
-221.822868,215,453.360122
-286.496202,253,454.704551
-137.583255,142,456.135879
-126.892112,139,456.810698
-400.373394,318,458.420507
-108.309354,168,459.210852
-158.044377,185,460.070515
-124.180441,150,461.510948
-194.51812,183,462.439283
-492.157398,501,464.978492
-134.991187,137,465.643218
-534.987577,501,468.885542
-371.438699,370,470.702253
-488.255331,501,474.053933
-156.768148,171,474.838763
-153.742655,168,475.650272
-259.105514,201,476.686501
-724.164902,491,479.872556
-179.682292,164,480.737854
-260.802797,194,481.725503
-112.1642,126,482.343506
-194.287511,185,483.21467
-258.191419,235,485.122717
-135.539107,166,485.901043
-111.043714,144,486.58325
-234.020996,232,487.716191
-132.02531,161,488.563428
-100.166319,132,489.226691
-141.650142,177,490.899652
-508.997554,501,493.43986
-343.056696,297,494.922322
-137.627017,144,495.623482
-149.063895,154,497.147297
-138.039735,147,497.937217
-130.112462,152,498.707125
-220.739186,265,499.99866
-155.348888,173,500.838987
-165.616163,178,501.680637
-236.991532,279,503.812136
-127.02442,144,504.502256
-103.639324,153,505.214386
-172.854832,174,506.003242
-148.925043,169,506.859982
-411.74069,373,509.364715
-88.977658,129,510.073043
-123.265641,125,510.742451
-110.249289,144,511.491467
-196.080568,200,512.443558
-91.404262,144,513.210507
-438.09595,501,516.590165
-133.397517,155,517.344045
-87.353345,136,517.97436
-602.66121,501,521.188937
-145.40593,162,522.063872
-117.247791,154,522.890002
-200.184003,187,523.85143
-491.748301,501,527.216962
-162.429452,161,527.996329
-456.419659,501,530.576427
-230.099408,186,532.179775
-208.731226,188,533.202164
-112.66069,167,534.009857
-207.187074,157,534.777837
-154.357939,177,535.645738
-157.714597,151,536.368
-169.393645,156,537.865749
-167.52916,164,538.734005
-115.527824,137,539.454638
-110.980598,132,540.147573
-157.098228,174,541.061274
-158.198568,162,541.919785
-188.468921,230,543.097727
-140.620325,171,544.619797
-387.943028,369,546.467544
-147.138782,158,547.258003
-92.346444,139,547.904053
-116.793261,146,548.684964
-373.009215,501,551.999515
-252.085577,219,553.140231
-138.865582,155,553.875274
-490.103379,501,557.19029
-441.35454,501,559.820947
-128.902401,149,560.491187
-308.109834,284,562.658512
-519.546183,501,565.236526
-441.60161,501,568.553913
-121.768527,163,569.334791
-150.418188,176,570.164573
-382.141124,417,572.301723
-122.858911,171,573.810904
-514.036697,501,576.374308
-200.020252,213,577.42749
-156.797303,156,578.221948
-573.124908,501,581.470552
-112.890128,148,582.174636
-485.978625,501,585.45855
-99.073852,154,586.184609
-453.168962,501,588.773653
-161.428474,183,589.616396
-245.352614,234,591.483042
-328.444614,362,593.467997
-102.521339,151,594.304271
-149.817115,180,595.291436
-209.971397,282,598.422126
-118.713775,137,599.320686
-378.166856,377,602.79639
-177.461372,193,604.240527
-114.740922,170,605.565982
-134.051432,173,608.081257
-145.5451,165,609.009234
-262.402662,233,610.319728
-287.49701,306,612.124905
-174.838136,178,613.089255
-309.739144,285,615.453064
-147.858156,156,616.401552
-196.911159,192,617.43351
-153.4572,174,618.290222
-168.049633,181,619.312688
-483.399775,501,622.633505
-333.289919,304,624.527911
-247.386417,214,625.598113
-183.058456,194,627.391732
-131.447677,169,628.211558
-149.700385,194,629.127332
-162.837041,173,630.066689
-223.172397,190,631.124489
-129.063841,172,631.936322
-101.022785,162,633.459066
-86.404164,142,634.622953
-137.171113,171,635.784843
-126.039015,163,636.723635
-123.960533,144,637.397711
-132.213647,157,638.237466
-106.556931,137,639.618569
-219.946629,233,640.944352
-408.578779,367,642.986368
-81.662688,144,643.636629
-127.657864,171,644.414401
-152.169259,159,645.90254
-126.964694,154,646.679496
-154.741824,181,647.52047
-74.646629,148,648.208158
-123.598578,153,648.909386
-123.232067,146,649.677332
-203.9005,214,651.552139
-120.291016,129,652.147225
-90.288675,137,652.776542
-84.911235,133,653.390899
-143.435309,176,654.207468
-442.635491,501,657.624338
-98.530075,151,658.354384
-110.03804,132,658.981673
-120.163359,147,659.79976
-128.595953,140,660.446033
-171.77538,156,661.17608
-126.990071,166,661.937658
-435.07853,405,664.628343
-122.754578,151,665.44756
-115.136909,147,666.25198
-121.197079,161,667.093245
-111.792097,116,667.628679
-165.896518,174,669.16393
-108.539883,150,669.934727
-123.903293,145,670.614706
-114.16004,160,671.471516
-132.059409,140,672.218671
-163.870577,172,673.049026
-108.743248,144,673.807386
-76.985043,120,675.282476
-486.275568,501,677.986519
-132.495865,173,678.862477
-110.627774,155,679.688067
-468.825448,501,682.923012
-143.410406,147,683.619326
-241.464642,217,684.679638
-191.578653,232,685.891496
-516.820049,501,689.370953
-242.72766,241,690.472007
-138.873315,198,691.419206
-140.31746,149,692.827046
-123.600106,155,693.581315
-157.696964,179,694.51904
-98.792253,156,695.252433
-463.277788,501,698.56037
-130.154435,160,699.314972
-166.319628,187,700.190982
